begin
comment source_file_name=OUTCAR.Al.8000K_HP-New.29859.5 structure_number=1
lattice 12.500000000 0.000000000 0.000000000
lattice 0.000000000 12.500000000 0.000000000
lattice 0.000000000 0.000000000 12.500000000
atom 5.31973 9.15145 10.04985 Al 0.0 0.0 7.735362 -2.953103 9.406832
atom 2.17851 1.01641 5.42688 Al 0.0 0.0 2.919404 -1.939554 -1.474174
atom 1.38921 3.13944 12.47495 Al 0.0 0.0 -8.162331 -1.385668 1.245723
atom 6.63151 12.34624 0.23941 Al 0.0 0.0 -0.345930 0.574415 -3.534988
atom 3.01990 11.92275 10.07442 Al 0.0 0.0 -0.677586 1.741173 3.360458
atom 2.02721 10.23390 9.62167 Al 0.0 0.0 -2.248117 -2.336837 3.884748
atom 10.50317 0.25555 4.46614 Al 0.0 0.0 11.892538 0.262981 -2.092564
atom 8.89115 6.10838 10.15947 Al 0.0 0.0 -8.739794 -11.472021 -4.535280
atom 9.23270 4.68254 7.10577 Al 0.0 0.0 5.023745 11.408770 8.352015
atom 3.66175 4.93585 8.89107 Al 0.0 0.0 7.113717 6.156959 5.761157
atom 9.15481 9.52121 9.30924 Al 0.0 0.0 17.493643 10.867864 -4.915027
atom 7.89191 7.29232 8.11210 Al 0.0 0.0 1.017314 -3.211601 2.734393
atom 11.88002 12.11226 11.68310 Al 0.0 0.0 -5.476883 5.017831 4.412904
atom 4.00150 6.18568 12.11519 Al 0.0 0.0 -1.651792 0.177324 0.889338
atom 10.54995 10.42704 0.24416 Al 0.0 0.0 8.445275 -3.190663 -6.193732
atom 10.45725 8.78225 1.28353 Al 0.0 0.0 -3.683002 -1.697256 -2.735765
atom 11.83657 2.76552 1.18010 Al 0.0 0.0 7.751237 9.369222 -0.877595
atom 6.76562 1.62223 11.27271 Al 0.0 0.0 -1.499459 -14.695967 -4.739990
atom 3.74667 5.92330 6.20124 Al 0.0 0.0 0.957186 -4.536303 0.234004
atom 0.25166 10.98705 8.96286 Al 0.0 0.0 5.401885 3.403832 -0.789526
atom 12.35189 5.64211 4.54210 Al 0.0 0.0 -1.996658 -7.089301 13.463208
atom 7.78615 12.32339 10.54500 Al 0.0 0.0 3.348960 11.222172 6.663264
atom 8.32461 3.15209 6.90097 Al 0.0 0.0 -12.692045 -3.846910 -8.228409
atom 0.61897 10.84887 11.23156 Al 0.0 0.0 7.447223 -5.564983 -7.217216
atom 7.48917 9.44076 9.43606 Al 0.0 0.0 -10.897842 -0.483573 8.870767
atom 6.20265 4.82137 11.96801 Al 0.0 0.0 6.088320 -4.824754 2.376775
atom 5.15769 2.50025 7.07368 Al 0.0 0.0 -11.464645 8.346881 -14.999353
atom 1.64990 8.35794 8.23437 Al 0.0 0.0 5.688409 -5.947117 9.136121
atom 5.86313 1.99895 9.44589 Al 0.0 0.0 1.450071 -11.680894 1.461429
atom 10.00055 6.65009 8.03913 Al 0.0 0.0 -4.198902 -7.829851 1.235676
atom 1.64188 5.16797 3.40378 Al 0.0 0.0 -3.372401 -5.137210 4.515644
atom 7.76957 9.33716 7.55261 Al 0.0 0.0 -2.653241 -6.100182 1.632228
atom 6.78108 5.02061 1.62883 Al 0.0 0.0 9.200488 5.884514 1.508447
atom 9.10565 9.76971 5.72497 Al 0.0 0.0 8.843619 10.515276 6.557640
atom 8.96332 11.03244 1.35331 Al 0.0 0.0 3.398367 3.625457 2.986584
atom 6.70014 5.75907 9.96882 Al 0.0 0.0 -0.657560 -0.819955 2.856907
atom 1.54693 1.32701 7.25157 Al 0.0 0.0 -0.260508 6.604765 0.221006
atom 5.52326 0.84268 4.00354 Al 0.0 0.0 1.746147 8.844640 0.414866
atom 10.37544 2.55387 3.89751 Al 0.0 0.0 -3.847725 -13.409308 -3.942758
atom 1.23408 0.06964 10.45756 Al 0.0 0.0 -3.347236 1.944031 -1.490806
atom 8.63034 7.76082 2.40188 Al 0.0 0.0 -6.204732 -1.346569 -0.857339
atom 2.21321 6.78025 11.21351 Al 0.0 0.0 -5.731694 2.784119 10.264952
atom 11.16076 8.66326 11.06999 Al 0.0 0.0 -6.566438 -0.637984 2.689596
atom 10.78001 2.00269 9.02871 Al 0.0 0.0 1.238143 1.049798 0.733591
atom 2.31334 6.65554 7.14492 Al 0.0 0.0 -4.894325 6.363709 3.883874
atom 0.37029 5.87789 7.20066 Al 0.0 0.0 -6.321205 0.033474 -9.590765
atom 8.95663 3.46538 8.89309 Al 0.0 0.0 4.074083 -0.818877 0.802048
atom 3.35423 2.47456 12.31760 Al 0.0 0.0 5.130930 -5.550873 0.219505
atom 9.61695 2.03761 7.42940 Al 0.0 0.0 -1.570847 -7.728784 5.282808
atom 3.65663 8.76117 9.17988 Al 0.0 0.0 -2.492758 0.247582 -0.526781
atom 6.55980 12.06155 8.40773 Al 0.0 0.0 -9.401091 3.323474 -0.874546
atom 8.79428 1.44861 5.26269 Al 0.0 0.0 -3.079099 0.957418 -2.727621
atom 9.89517 5.13577 11.98965 Al 0.0 0.0 0.741593 -2.558829 -8.800441
atom 5.00162 11.43163 7.25616 Al 0.0 0.0 -6.760940 6.856214 8.808378
